step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,14.0,1.75,9.988639995636747,2,14.0,0.6575102008521682,2,14.0
60.0,6,153.0,15.3,0.8527208740572219,6,153.0,0.0673056753621356,6,153.0
90.0,14,493.0,27.38888888888889,2.971072291402703,14,493.0,0.2158796042099843,14,493.0
120.0,8,399.0,21.0,4.911168191976612,8,399.0,0.09251714104272306,8,399.0
150.0,16,795.0,39.75,2.5897373633204124,16,795.0,0.19146813851082406,16,795.0
180.0,8,235.0,11.19047619047619,3.7033412624566013,8,276.0,0.059295960034632264,8,276.0
210.0,8,160.0,8.0,6.9228249585419634,8,202.0,0.3154870672244516,8,202.0
240.0,14,481.0,30.0625,0.40129385824819014,14,523.0,0.03073965545166122,14,523.0
270.0,14,829.0,37.68181818181818,4.647814409662677,14,871.0,0.2108503389084346,14,871.0
300.0,3,37.0,1.9473684210526316,4.798025631479541,2,126.0,0.12544388512779106,2,126.0
330.0,6,170.0,10.625,6.741373060156141,6,170.0,0.37351868937567495,6,170.0
360.0,12,455.0,30.333333333333332,0.3240363154558773,12,455.0,0.024907087023323667,12,455.0
390.0,8,234.0,11.7,6.03775833776545,7,244.0,0.30535251441233335,7,244.0
420.0,15,571.0,33.588235294117645,0.23462462565030506,15,583.0,0.018966544102332977,15,583.0
450.0,21,1122.0,44.88,2.00326101312065,21,1134.0,0.15077534102832912,21,1134.0
480.0,29,1847.0,63.689655172413794,0.0006581007435945445,29,1859.0,4.861104958037162e-05,29,1859.0
510.0,19,1815.0,53.38235294117647,4.051006014131342,19,1859.0,0.1656900184651789,19,1859.0
540.0,23,2440.0,90.37037037037037,1.5441489734680738,23,2440.0,7.95526258488812e-06,23,2440.0
570.0,27,3178.0,102.51612903225806,1.5630436801056724,27,3178.0,0.12316062192121181,27,3178.0
600.0,33,4086.0,116.74285714285715,0.1800242196771749,33,4086.0,0.015656865620095158,33,4086.0
630.0,8,311.0,7.585365853658536,4.244843434109162,8,1944.0,0.19675834075963883,8,1944.0
660.0,35,959.0,27.4,0.0007187434498983736,35,2593.0,5.179202829598947e-05,35,2593.0
690.0,14,976.0,25.025641025641026,3.3366432170836466,14,1590.0,0.15722099177191712,14,1590.0
720.0,18,1445.0,43.78787878787879,2.6837994828610174,18,1568.0,0.05366528077021383,18,1568.0
750.0,20,2012.0,64.90322580645162,4.4843272001183525,20,2012.0,0.15535573625464208,20,2012.0
780.0,26,2704.0,96.57142857142857,0.10542232188293202,26,2704.0,0.00758979999157178,26,2704.0
810.0,26,3417.0,106.78125,2.4639685811702594,26,3417.0,0.12790174622459966,26,3417.0
840.0,32,4298.0,126.41176470588235,0.12237838154448587,32,4298.0,0.009640813856370157,32,4298.0
870.0,38,5370.0,127.85714285714286,0.9288745482046007,38,5370.0,0.0677731607816732,38,5370.0
900.0,9,397.0,9.232558139534884,2.6782524198901827,9,3066.0,0.09724066730227006,9,3066.0
930.0,26,361.0,8.804878048780488,2.8658528001024894,26,3047.0,0.11018740598127957,26,3047.0
960.0,31,1237.0,34.361111111111114,1.7177852270367717,31,3910.0,0.0,31,3910.0
990.0,35,2219.0,56.8974358974359,0.9260295651852223,35,4892.0,0.07037862153265884,35,4892.0
1020.0,41,3379.0,78.5813953488372,0.13118600494646684,41,6052.0,0.011011678339280616,41,6052.0
1050.0,8,309.0,6.4375,3.1969615142025205,8,3921.0,0.14147672452614427,8,3921.0
1080.0,11,590.0,13.720930232558139,2.649912190472324,11,2135.0,0.07424326256555579,11,2135.0
1110.0,14,974.0,24.35,3.75114982469904,14,1576.0,0.16182275160049714,14,1576.0
1140.0,17,290.0,8.787878787878787,2.7071092762429028,17,979.0,0.03664139941283507,17,979.0
1170.0,29,1053.0,31.90909090909091,1.4649522642303194,29,1742.0,0.11061867989353442,29,1742.0
1200.0,14,510.0,14.571428571428571,2.6385795627670507,14,1303.0,0.048014391591616565,14,1303.0
